open_time,close_time,strat,dir,entry,exit,lots,pnl,commission,swap,market_state_on_open,liquidity_score_on_open,slippage,exec_ms,was_limit
2026.02.10 12:02:02,2026.02.10 12:03:05,EMA,1,5048.81000,5052.17000,0.01,3.36,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.10 12:11:04,2026.02.10 12:13:26,EMA,-1,5045.18000,5041.94000,0.01,3.24,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.10 12:51:35,2026.02.10 12:53:42,EMA,1,5054.64000,5052.66000,0.01,-1.98,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.10 14:07:32,2026.02.10 14:07:42,EMA,1,5043.68000,5041.68000,0.01,-2.00,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.10 14:18:00,2026.02.10 14:20:04,EMA,1,5049.41000,5047.22000,0.01,-2.19,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.10 14:21:39,2026.02.10 14:22:40,EMA,-1,5044.60000,5046.70000,0.01,-2.10,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.10 14:24:00,2026.02.10 14:24:24,EMA,1,5049.27000,5047.20000,0.01,-2.07,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.11 11:10:34,2026.02.11 11:11:37,EMA,-1,5053.90000,5051.63000,0.01,2.27,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.11 11:14:27,2026.02.11 11:19:19,EMA,-1,5051.88000,5053.92000,0.01,-2.04,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.11 12:01:27,2026.02.11 12:12:30,EMA,1,5065.34000,5068.32000,0.01,2.98,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.11 12:38:00,2026.02.11 12:38:38,EMA,1,5073.76000,5071.61000,0.01,-2.15,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.11 14:52:00,2026.02.11 14:52:38,EMA,1,5078.99000,5076.88000,0.01,-2.11,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.12 11:28:28,2026.02.12 11:31:15,EMA,1,5072.82000,5070.82000,0.01,-2.00,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.12 11:49:14,2026.02.12 11:49:29,EMA,1,5071.25000,5073.44000,0.01,2.19,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.12 12:36:37,2026.02.12 12:37:38,EMA,1,5065.01000,5063.00000,0.01,-2.01,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.12 12:39:00,2026.02.12 12:42:32,EMA,-1,5061.75000,5063.84000,0.01,-2.09,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.12 14:05:27,2026.02.12 14:05:40,EMA,1,5064.18000,5062.16000,0.01,-2.02,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.12 14:16:33,2026.02.12 14:18:26,EMA,-1,5064.08000,5061.69000,0.01,2.39,-0.03,0.00,0,0.00,0.00000,0,0
2026.02.12 14:19:12,2026.02.12 14:32:35,EMA,-1,5062.41000,5064.45000,0.01,-2.04,-0.03,0.00,0,0.00,0.00000,0,0
